Number of Processes,Memory Used (MB),Time Elapsed (ms)
92,2717.140625,47402.59575843811
93,2727.88671875,47916.799545288086
94,2742.86328125,48428.096532821655
95,2766.50390625,48936.31553649902
96,2781.921875,49444.27537918091
97,2804.2265625,49956.37822151184
98,2820.06640625,50494.590759277344
99,2831.84765625,51032.55581855774
100,2846.03515625,51570.5623626709
101,2869.65234375,52098.40798377991
102,2884.6015625,52625.625133514404
103,2902.109375,53163.5684967041
104,2917.390625,53670.923471450806
105,2928.03125,54193.83955001831
106,2945.58984375,54702.16464996338
107,2956.84765625,55213.84143829346
108,2976.48828125,55722.841024398804
109,2990.1953125,56255.21397590637
110,2996.27734375,56766.68119430542
111,3011.23828125,57285.82572937012
112,3028.984375,57793.378829956055
113,3044.546875,58319.549322128296
114,3060.09765625,58840.839862823486
115,3080.25,59378.58247756958
116,3091.82421875,59886.31534576416
117,3107.07421875,60394.32597160339
118,3122.65625,60902.286529541016
119,3135.48828125,61438.41290473938
120,3151.83984375,61960.31928062439
121,3167.02734375,62468.61290931702
122,3176.8984375,62984.13801193237
123,3195.2421875,63492.361307144165
124,3206.81640625,64016.61133766174
125,3220.578125,64542.42181777954
126,3241.80078125,65050.35996437073
127,3252.6953125,65567.61050224304
128,3268.18359375,66105.87549209595
129,3282.11328125,66615.64469337463
130,3296.8046875,67123.34036827087
131,3317.046875,67638.04244995117
132,3332.01953125,68154.24180030823
133,3344.6015625,68692.59834289551
134,3360.2734375,69200.2923488617
135,3381.8828125,69708.26530456543
136,3389.9296875,70227.8356552124
137,3405.35546875,70757.99822807312
138,3420.16015625,71290.9905910492
139,3435.94921875,71812.40057945251
140,3453.1875,72345.59774398804
141,3468.265625,72875.62680244446
142,3483.88671875,73383.31317901611
143,3497.15625,73899.89256858826
144,3511.3828125,74407.33695030212
145,3527.86328125,74915.34328460693
146,3544.265625,75450.6025314331
147,3561.31640625,75970.57127952576
148,3582.7890625,76485.84246635437
149,3588.96875,77003.95441055298
150,3600.31640625,77512.60542869568
151,3619.70703125,78050.63199996948
152,3628.9765625,78568.39847564697
153,3648.37109375,79075.56390762329
154,3656.15625,79599.39527511597
155,3668.51953125,80107.36846923828
156,3683.35546875,80616.43624305725
157,3702.859375,81124.196767807
158,3723.66796875,81632.34066963196
159,3726.7890625,82139.85586166382
160,3739.83203125,82646.51298522949
161,3750.12890625,83154.35576438904
162,3766.5546875,83680.49120903015
163,3792.375,84187.38269805908
164,3808.515625,84695.08838653564
165,3824.9453125,85204.34045791626
166,3844.5390625,85741.64509773254
167,3866.3671875,86265.63167572021
168,3896.70703125,86773.62322807312
169,3922.34375,87280.43556213379
170,3940.71484375,87797.43003845215
171,3974.54296875,88307.19184875488
172,3987.44140625,88818.40014457703
173,4005.71484375,89325.79493522644
174,4027.8359375,89836.75718307495
175,4050.8046875,90352.6258468628
176,4080.11328125,90862.5373840332
177,4100.046875,91372.05028533936
178,4124.44140625,91880.14054298401
179,4140.5859375,92394.36268806458
180,4157.0546875,92901.87931060791
181,4183.97265625,93409.37685966492
