Block Size (MB),Trial Num,Allocation Time (ms),Write Time (ms),Read Time (ms),Free Time (ms)
200,93,0.003,565.176,565.144,0.015
200,94,0.004,565.176,565.178,0.015
200,95,0.005,565.163,565.211,0.012
200,96,0.004,565.155,565.170,0.011
200,97,0.004,565.145,565.159,0.007
200,98,0.002,565.152,565.157,0.013
200,99,0.003,565.167,565.142,0.009
200,100,0.003,565.186,565.134,0.015
300,1,0.018,847.770,847.762,0.017
300,2,0.005,847.745,847.773,0.008
300,3,0.002,847.759,847.706,0.007
300,4,0.002,847.780,847.753,0.014
300,5,0.004,847.731,847.745,0.016
300,6,0.004,847.782,847.765,0.010
300,7,0.003,847.744,847.716,0.004
300,8,0.001,847.724,847.738,0.016
300,9,0.005,847.743,847.733,0.011
300,10,0.003,847.721,847.770,0.015
300,11,0.004,847.775,847.743,0.016
300,12,0.004,847.782,847.723,0.012
300,13,0.003,847.786,847.756,0.011
300,14,0.004,847.740,847.803,0.014
300,15,0.004,847.763,847.774,0.017
300,16,0.004,847.752,847.721,0.015
300,17,0.005,847.758,847.750,0.008
300,18,0.003,847.754,847.738,0.016
300,19,0.004,847.778,847.749,0.016
300,20,0.005,847.805,847.747,0.016
300,21,0.005,847.771,847.771,0.012
300,22,0.003,847.731,847.740,0.016
300,23,0.004,847.751,847.725,0.013
300,24,0.004,847.762,847.747,0.017
300,25,0.004,847.770,847.782,0.016
300,26,0.005,847.775,847.716,0.015
300,27,0.004,847.755,847.764,0.015
300,28,0.004,847.774,847.789,0.016
300,29,0.004,847.777,847.777,0.016
300,30,0.005,847.735,847.770,0.011
300,31,0.004,847.776,847.733,0.016
300,32,0.004,847.743,847.764,0.016
300,33,0.004,847.781,847.749,0.010
300,34,0.004,847.756,847.745,0.015
300,35,0.004,847.744,847.731,0.010
300,36,0.003,847.737,847.727,0.016
300,37,0.005,847.797,847.740,0.014
300,38,0.004,847.750,847.741,0.013
300,39,0.004,847.742,847.724,0.003
300,40,0.001,847.762,847.771,0.016
300,41,0.005,847.793,847.756,0.017
300,42,0.004,847.747,847.751,0.015
300,43,0.004,847.756,847.738,0.013
300,44,0.004,847.752,847.744,0.011
300,45,0.003,847.748,847.772,0.016
300,46,0.004,847.742,847.753,0.003
300,47,0.001,847.756,847.747,0.017
300,48,0.005,847.743,847.753,0.014
300,49,0.004,847.774,847.780,0.014
300,50,0.004,847.731,847.736,0.011
300,51,0.003,847.754,847.749,0.017
300,52,0.004,847.749,847.744,0.009
300,53,0.003,847.781,847.747,0.013
300,54,0.003,847.783,847.738,0.014
300,55,0.004,847.722,847.744,0.017
300,56,0.005,847.721,847.715,0.003
300,57,0.001,847.776,847.758,0.006
300,58,0.002,847.737,847.759,0.016
300,59,0.005,847.767,847.741,0.015
300,60,0.005,847.759,847.756,0.011
300,61,0.003,847.746,847.741,0.015
300,62,0.004,847.726,847.705,0.003
300,63,0.001,847.740,847.741,0.016
300,64,0.005,847.754,847.733,0.016
300,65,0.004,847.762,847.749,0.016
300,66,0.004,847.748,847.734,0.010
300,67,0.003,847.763,847.751,0.017
300,68,0.005,847.727,847.737,0.015
300,69,0.004,847.767,847.717,0.013
300,70,0.004,847.768,847.745,0.016
300,71,0.004,847.740,847.732,0.014
300,72,0.004,847.760,847.712,0.015
300,73,0.005,847.769,847.752,0.016
300,74,0.005,847.735,847.743,0.014
300,75,0.005,847.766,847.727,0.016
300,76,0.005,847.741,847.739,0.007
300,77,0.002,847.758,847.734,0.013
300,78,0.004,847.747,847.718,0.016
300,79,0.004,847.730,847.722,0.015
300,80,0.004,847.736,847.735,0.013
300,81,0.004,847.745,847.744,0.016
300,82,0.005,847.762,847.743,0.007
300,83,0.002,847.750,847.755,0.013
300,84,0.004,847.770,847.742,0.015
300,85,0.005,847.749,847.763,0.017
300,86,0.005,847.729,847.730,0.010
300,87,0.002,847.754,847.725,0.013
300,88,0.004,847.740,847.760,0.017
300,89,0.004,847.730,847.749,0.017
300,90,0.005,847.760,848.363,0.016
300,91,0.004,847.738,847.747,0.016
300,92,0.004,847.731,847.732,0.014
300,93,0.004,847.742,847.732,0.017
300,94,0.004,847.732,847.736,0.014
300,95,0.004,847.742,847.750,0.016
300,96,0.005,847.814,847.768,0.008
300,97,0.002,847.733,847.818,0.012
300,98,0.004,847.833,847.718,0.017
300,99,0.004,847.720,847.743,0.008
300,100,0.002,847.782,847.795,0.016
400,1,0.034,1130.307,1130.305,0.016
400,2,0.004,1130.291,1130.293,0.016
400,3,0.005,1130.379,1130.281,0.016
400,4,0.005,1130.323,1130.360,0.017
400,5,0.005,1130.342,1130.318,0.015
400,6,0.005,1130.354,1130.372,0.014
400,7,0.004,1130.347,1130.358,0.011
400,8,0.003,1130.313,1130.337,0.016
400,9,0.005,1130.335,1130.321,0.012
400,10,0.003,1130.314,1130.302,0.014
400,11,0.004,1130.333,1130.345,0.014
400,12,0.005,1130.323,1130.328,0.017
400,13,0.005,1130.338,1130.332,0.011
400,14,0.003,1130.303,1130.350,0.013
400,15,0.004,1130.356,1130.342,0.013
400,16,0.004,1130.316,1130.323,0.014
400,17,0.004,1130.367,1130.321,0.015
400,18,0.005,1130.349,1130.367,0.015
400,19,0.005,1130.332,1130.305,0.015
400,20,0.004,1130.338,1130.363,0.016
400,21,0.005,1130.335,1130.320,0.005
400,22,0.001,1130.324,1130.316,0.015
400,23,0.004,1130.322,1130.307,0.015
400,24,0.005,1130.331,1130.327,0.016
400,25,0.004,1130.332,1130.313,0.013
400,26,0.004,1130.362,1130.304,0.016
400,27,0.005,1130.341,1130.316,0.015
400,28,0.005,1130.335,1130.332,0.016
400,29,0.005,1130.336,1130.323,0.011
400,30,0.004,1130.367,1130.322,0.011
400,31,0.004,1130.342,1130.330,0.014
400,32,0.004,1130.363,1130.331,0.013
400,33,0.004,1130.341,1130.364,0.016
400,34,0.005,1130.320,1130.316,0.011
400,35,0.003,1130.350,1130.324,0.014
400,36,0.005,1130.316,1130.307,0.017
400,37,0.004,1130.319,1130.334,0.014
400,38,0.004,1130.329,1130.359,0.013
400,39,0.004,1130.347,1130.325,0.013
400,40,0.004,1130.331,1130.374,0.015
400,41,0.004,1130.334,1130.342,0.016
400,42,0.004,1130.356,1130.317,0.013
400,43,0.004,1130.333,1130.315,0.016
400,44,0.006,1130.418,1130.331,0.015
400,45,0.004,1130.345,1130.310,0.004
400,46,0.001,1130.322,1130.356,0.017
400,47,0.004,1130.325,1130.303,0.014
400,48,0.004,1130.341,1130.352,0.015
400,49,0.004,1130.336,1130.320,0.016
400,50,0.005,1130.329,1130.347,0.015
400,51,0.004,1130.340,1130.347,0.015
400,52,0.004,1130.312,1130.298,0.016
400,53,0.004,1130.355,1130.318,0.015
400,54,0.005,1130.352,1130.344,0.015
400,55,0.004,1130.305,1130.304,0.011
400,56,0.003,1130.304,1130.311,0.016
400,57,0.005,1130.328,1130.337,0.016
400,58,0.004,1130.323,1130.328,0.014
400,59,0.005,1130.355,1130.331,0.016
400,60,0.004,1130.331,1130.358,0.016
400,61,0.005,1130.362,1130.330,0.015
400,62,0.005,1130.334,1130.330,0.008
400,63,0.002,1130.340,1130.320,0.016
400,64,0.005,1130.330,1130.301,0.016
400,65,0.005,1130.306,1130.294,0.015
400,66,0.004,1130.324,1130.327,0.016
400,67,0.005,1130.303,1130.339,0.015
400,68,0.005,1130.353,1130.290,0.015
400,69,0.004,1130.330,1130.347,0.016
400,70,0.004,1130.339,1130.313,0.012
400,71,0.004,1130.326,1130.308,0.012
400,72,0.003,1130.329,1130.306,0.015
400,73,0.005,1130.328,1130.313,0.016
400,74,0.004,1130.301,1130.376,0.014
400,75,0.004,1130.300,1130.315,0.015
400,76,0.004,1130.305,1130.308,0.016
400,77,0.005,1130.314,1130.312,0.013
400,78,0.004,1130.299,1130.337,0.015
400,79,0.004,1130.339,1130.334,0.016
400,80,0.004,1130.350,1130.291,0.015
400,81,0.005,1130.295,1130.493,0.015
400,82,0.004,1130.308,1130.304,0.015
400,83,0.004,1130.319,1130.376,0.016
400,84,0.005,1130.314,1130.333,0.016
400,85,0.004,1130.354,1130.296,0.016
400,86,0.005,1130.308,1130.363,0.013
400,87,0.003,1130.320,1130.299,0.015
400,88,0.004,1130.315,1130.303,0.009
400,89,0.004,1130.304,1130.312,0.016
