Number of Processes,Memory Used (MB),Time Elapsed (ms)
2105,11856.12109375,5368611.505270004
2106,11850.73046875,5371126.178979874
2107,11877.84375,5373658.266305923
2108,11873.109375,5376178.244590759
2109,11896.71875,5378750.066995621
2110,11882.53125,5381313.20643425
2111,11889.62890625,5383845.234870911
2112,11896.5625,5386367.241621017
2113,11891.99609375,5388931.929349899
2114,11894.84765625,5391482.348918915
2115,11897.140625,5394033.337116241
2116,11899.62109375,5396702.374696732
2117,11913.27734375,5399276.303052902
2118,11908.16015625,5401807.632923126
2119,11928.85546875,5404501.654148102
2120,11913.35546875,5407030.973434448
2121,11919.71875,5409556.188344955
2122,11905.76953125,5412094.901800156
2123,11919.83984375,5414703.732252121
2124,11910.81640625,5417279.924631119
2125,11911.03125,5419809.619188309
2126,11915.82421875,5422499.605178833
2127,11931.00390625,5425016.739845276
2128,11942.0390625,5427557.217359543
2129,11949.359375,5430091.463088989
2130,11953.62890625,5432653.289079666
2131,11952.0,5435186.430692673
2132,11974.61328125,5437715.0156497955
2133,11976.17578125,5440298.915863037
2134,11980.3046875,5442866.412162781
2135,11983.453125,5445397.020578384
2136,11967.3125,5447927.355051041
2137,11965.23046875,5450549.252986908
2138,11967.73046875,5453076.869487762
2139,11975.203125,5455638.785123825
2140,11971.6171875,5458173.092126846
2141,11979.56640625,5460849.30562973
2142,11996.13671875,5463415.177822113
2143,12012.75390625,5465934.279680252
2144,12009.42578125,5468604.655504227
2145,12005.8203125,5471153.6247730255
2146,12010.078125,5473696.082353592
2147,12005.16015625,5476254.969835281
2148,12023.19140625,5478770.441770554
2149,12026.3125,5481320.851325989
2150,12024.44921875,5483861.351728439
2151,12035.01953125,5486412.439823151
2152,12025.63671875,5488998.980760574
2153,12030.19921875,5491561.172246933
2154,12032.49609375,5494073.800325394
2155,12037.78125,5496604.622840881
2156,12045.33984375,5499296.60654068
2157,12049.828125,5501823.429346085
2158,12063.2109375,5504370.79334259
2159,12066.671875,5506889.9974823
2160,12062.87109375,5509473.733663559
2161,12068.12109375,5512036.984682083
2162,12076.6640625,5514571.829080582
2163,12091.4453125,5517159.492254257
2164,12082.109375,5519703.028440475
2165,12093.0703125,5522227.771997452
2166,12097.13671875,5524776.202917099
2167,12099.47265625,5527452.256202698
2168,12106.46875,5529994.299888611
2169,12127.82421875,5532511.740922928
2170,12120.71484375,5535036.142110825
2171,12127.19140625,5537756.661653519
2172,12141.84765625,5540329.302072525
2173,12126.09375,5542846.64106369
2174,12116.390625,5545564.300775528
2175,12104.0390625,5548106.739759445
2176,12099.5546875,5550675.929546356
2177,12103.93359375,5553233.18529129
2178,12073.890625,5555807.571411133
2179,12070.5,5558326.691865921
2180,12079.44140625,5560855.262041092
2181,12084.07421875,5563417.52076149
2182,12089.3203125,5565953.499317169
2183,12105.125,5568512.193202972
2184,12104.57421875,5571027.746677399
2185,12120.71875,5573569.5424079895
