Number of Processes,Memory Used (MB),Time Elapsed (ms)
370,7861.48828125,189940.73247909546
371,7886.046875,190447.73149490356
372,7915.0625,190957.16977119446
373,7939.1953125,191468.1351184845
374,7964.73046875,191975.20399093628
375,7994.59375,192487.25175857544
376,8007.51953125,192995.614528656
377,8036.09375,193507.90143013
378,8054.03515625,194014.92428779602
379,8080.25390625,194528.54871749878
380,8109.578125,195035.54010391235
381,8130.94140625,195543.6406135559
382,8163.1015625,196057.3127269745
383,8194.96484375,196568.52960586548
384,8221.08984375,197075.17004013062
385,8252.421875,197584.7668647766
386,8279.890625,198093.27912330627
387,8309.72265625,198601.11451148987
388,8350.5,199130.27834892273
389,8373.87890625,199637.83621788025
390,8401.0625,200145.99013328552
391,8430.06640625,200652.7795791626
392,8457.42578125,201175.11510849
393,8492.45703125,201695.44458389282
394,8524.3203125,202202.83269882202
395,8552.74609375,202715.10696411133
396,8582.36328125,203221.8313217163
397,8614.9375,203729.0918827057
398,8644.3046875,204235.91327667236
399,8670.90234375,204752.4254322052
400,8707.359375,205260.33902168274
401,8726.5546875,205768.0468559265
402,8756.74609375,206274.83081817627
403,8790.12109375,206787.38594055176
404,8818.61328125,207295.08328437805
405,8837.14453125,207802.40154266357
406,8858.671875,208314.99576568604
407,8887.4140625,208822.2634792328
408,8915.15234375,209329.87141609192
409,8931.234375,209836.88592910767
410,8955.25,210344.0282344818
411,8982.5546875,210862.9765510559
412,9009.75,211369.88615989685
413,9037.76171875,211878.06224822998
414,9061.37109375,212389.05477523804
415,9082.97265625,212896.9967365265
416,9096.6328125,213404.9048423767
417,9124.2734375,213910.95161437988
418,9150.4765625,214416.92733764648
419,9165.828125,214924.91221427917
420,9188.2109375,215432.9481124878
421,9218.0625,215959.6130847931
422,9240.84765625,216466.8483734131
423,9269.90625,216973.44875335693
424,9297.171875,217481.01949691772
425,9320.58984375,217993.4368133545
426,9331.8359375,218518.19849014282
427,9356.703125,219025.945186615
428,9378.23828125,219532.6337814331
429,9392.8203125,220041.15509986877
430,9420.48046875,220553.4405708313
431,9441.47265625,221060.1131916046
432,9472.2578125,221566.9515132904
433,9503.04296875,222075.0184059143
434,9532.0078125,222582.96513557434
435,9549.32421875,223089.33901786804
436,9571.15234375,223601.9868850708
437,9594.23046875,224108.06918144226
438,9617.359375,224617.63763427734
439,9640.65625,225132.26461410522
440,9662.3203125,225641.22915267944
441,9688.45703125,226148.99849891663
442,9718.0078125,226656.08978271484
443,9733.9765625,227183.12668800354
444,9753.39453125,227691.1976337433
445,9774.68359375,228199.02729988098
446,9792.38671875,228707.1373462677
447,9819.17578125,229219.01965141296
448,9842.21875,229726.32479667664
449,9873.2890625,230233.42537879944
450,9896.5625,230741.0111427307
451,9920.0,231249.0417957306
452,9944.21484375,231764.4670009613
453,9965.6171875,232284.0394973755
454,9993.71484375,232792.07158088684
455,10015.21484375,233309.45110321045
456,10041.4609375,233828.26399803162
457,10069.10546875,234340.00039100647
458,10089.6015625,234847.08189964294
459,10117.89453125,235358.08444023132
460,10139.4140625,235873.22068214417
461,10166.51171875,236381.06894493103
462,10191.11328125,236888.11779022217
463,10219.6640625,237399.96194839478
464,10248.140625,237907.1385860443
465,10269.76171875,238414.34478759766
466,10297.265625,238922.18780517578
467,10311.08984375,239430.109500885
468,10335.0390625,239978.35063934326
469,10363.84765625,240485.58259010315
470,10390.23046875,240993.21484565735
471,10418.3203125,241501.0633468628
472,10438.41796875,242008.10861587524
